,min,max,range
GHI,0.0,1094.7640333333334,1094.7640333333334
DNI,0.0,1790.1722016217566,1790.1722016217566
DHI,0.0,850.2751491796033,850.2751491796033
Temperature,-4.274795833333333,39.44052833333333,43.71532416666667
Humidity,8.088021166666667,100.0,91.91197883333334
Pressure,896.0331333333332,921.029,24.995866666666757
WindSpeed,0.369388,18.759695,18.390307
WindDir_sin,-0.9999994376981386,0.9999999935979148,1.9999994312960534
WindDir_cos,-0.9999999844834928,0.9915482783097772,1.9915482627932701
SolarElevation,-78.52083659543815,78.45712825077058,156.97796484620875
AirMass,0.0,33.922442377591885,33.922442377591885
GHI_clearsky,0.0,1018.5022379457404,1018.5022379457404
kt,0.0,1.5,1.5
hour_sin,-1.0,1.0,2.0
hour_cos,-1.0,1.0,2.0
doy_sin,-0.9999994220246924,0.9999855506507186,1.9999849726754109
doy_cos,-0.9999791929590824,0.9999907524084426,1.999969945367525
